text,intent
"[""1 received someone else ' s order by misunderstanding instead of my ain. This require to live resolved urgently!""]",Customer Support-Order Status
['Ar there any discount available for the skincare mathematical product?'],Product Inquiry-Price
['Information technology would be great if you offer more than vegan intersection.'],Feedback-Suggestions
"['The cream with yellowness is part of my routine, and 1 just now love information technology! ❤ ️']",Feedback-Compliments
['Behind you suggest a shaping - free option for raw skin?'],Product Inquiry-Recommendations
"[""Can I use it if I ' 1000 allergic to hyaluronic back breaker?""]",Product Inquiry-Ingredients
['I urge that you encapsulate the blood serum with pure vitamin C as information technology oxidizes real chop chop.'],Product Inquiry-Recommendations
"[""I receive someone else ' s fiat rather of my own items! This needs to embody resolved.""]",Customer Support-Shipping Issues
"[""I ' ve been use the serum and I love information technology!""]",Feedback-Compliments
"[""It ' s metre you extended your brow scope with pomade, gels and other tools beyond just pencil.""]",Feedback-Suggestions
"[""The streamlined, minimalist esthetic of your makeup packaging and stigmatisation is just chef ' s kiss.""]",Feedback-Compliments
"[""Why be your products hence extremely rated? What ' s the secret?""]",Others
['How do I return this eco - friendly merchandise?'],Customer Support-Returns and Refunds
['Serve you offer professional training sessions for utilise your products?'],Professional Inquiry
['It would be bully if you offered more than vegan products.'],Feedback-Suggestions
['Can you resend my order? Information technology never arrive!'],Customer Support-Shipping Issues
"[""Ane ' molar concentration interested in seek your brand ' s brow products. Which nonpareil would you propose for full, feathered brows?""]",Product Inquiry-Recommendations
['How make I track my order condition?'],Customer Support-Order Status
['For the first time I implement the serum then the emollient?'],Product Inquiry-Usage Instructions
['Super character'],Feedback-Compliments
"['This delay personify unsufferable, what the hell?']",Customer Support-Order Status
['Is in that location a media kit usable for influencers?'],Professional Inquiry
['I ’ d sexual love to attend more than vegan options from your brand.'],Feedback-Suggestions
"[""Ace ' d like to get together with your brand, who should Iodin contact?""]",Professional Inquiry
['How tail end I incur a deduction?'],Product Inquiry-Price
"['As a pro MUA, I was wonder if you offer any pro discount beaver state trueness computer programme?']",Professional Inquiry
"[""Privy I expend it if Unity ' one thousand take Roaccutane? Are the fixings compatible with this treatment?""]",Product Inquiry-Ingredients
"[""I ' g looking for a specific shimmery eyeshadow exclusive call ' Gilded ' only give the sack ' t locate it on your website.""]",Product Inquiry-Availability
['Where hind end I see if my bundle croak the custom?'],Customer Support-Order Status
"[""Ass One return this if Iodin ' ve used information technology once?""]",Customer Support-Returns and Refunds
"[""What ' s the fucking policy on refund?""]",Customer Support-Returns and Refunds
"['My order be marked as delivered, only 1 never got it!']",Customer Support-Shipping Issues
"['The cream with yellows is section of my act, and Single hardly love information technology! ❤ ️']",Feedback-Compliments
['I love your product!'],Feedback-Compliments
"[""The product didn ' t oeuvre as advertised.""]",Feedback-Complaints
['The tracking information for my society is wrong.'],Customer Support-Shipping Issues
['I learn your new blade ambassador and am so excited for the future of the caller!'],Others
"[""How do I go astir returning an detail that caused an supersensitive response? I have a doctor of the church ' s tone.""]",Customer Support-Returns and Refunds
['CBD'],Product Inquiry-Ingredients
['I have a suggestion for improving your internet site.'],Feedback-Suggestions
['I work in beauty media and be concerned in getting some product from your coming collection for review / coverage purposes.'],Professional Inquiry
['I haven ’ t received any update on my orderliness for the plastic - destitute bent.'],Customer Support-Order Status
['Send away Unity purchase the new flatness foundation online?'],Product Inquiry-Availability
['How much does the anti - get on serum cost?'],Product Inquiry-Price
['glycolic acid'],Product Inquiry-Ingredients
"[""Information technology ' s been over iii workweek and I nevertheless haven ' triiodothyronine receive my refund after returning products. This is unacceptable!""]",Customer Support-Returns and Refunds
['The cruelty - devoid makeup annoy my skin.'],Feedback-Complaints
"[""Is the new matte lipstick subtlety ' Velvet Blusher ' yet uncommitted? Information technology ' s sold come out of the closet online.""]",Product Inquiry-Availability
['How the hell is this thus pricy?'],Product Inquiry-Price
['Perform you offer professional training roger sessions for using your products?'],Professional Inquiry
['minunat'],Feedback-Compliments
['Why is your refund process and then damn slow up?'],Customer Support-Returns and Refunds
['One encounter a damaged product.'],Customer Support-Shipping Issues
"['What lipstick formula would you recommend for a comfortable, farseeing wear red tint?']",Product Inquiry-Recommendations
['Can you hint something for sensitive cutis that won ’ t cause breakouts?'],Product Inquiry-Recommendations
['minunat'],Feedback-Compliments
"['From Brand_F, One make out the antioxidant - rich day pick, the soothing middle gelatin, the deep - cleansing clay masque, and the nourishing rim unguent.']",Feedback-Compliments
['How can I swan my rescript status?'],Customer Support-Order Status
['Comprise the circumscribed version holiday brush sets even so in stores or were they an online single?'],Product Inquiry-Availability
['Monetary value?'],Product Inquiry-Price
['What be the price of the new lipstick?'],Product Inquiry-Price
['Be at that place a professional discount for large orders?'],Professional Inquiry
['Doe is comprise niacinamides?'],Product Inquiry-Ingredients
['Discover the ultimate skin care number with our fresh collection. Follow the link and get 20% turned your world class order. # Skincare # BeautySavings'],Others
['I am really satisfied with my purchase.'],Feedback-Compliments
['Translate your cutis with our wizard elixir! Order now and get l% off your inaugural purchase! Use code: MAGIC50 at checkout time. Limited time offer! # Skincare # BeautyDeals'],Others
['Can you resend my order? Information technology never arrive!'],Customer Support-Shipping Issues
['Fanny you make a fragrance - gratuitous variant of this product?'],Feedback-Suggestions
['cannot be earmark'],Feedback-Complaints
"[""Can Atomic number 53 return this if Ace ' ve used it once?""]",Customer Support-Returns and Refunds
['Why be shipping thus all fired expensive?'],Customer Support-Shipping Issues
"[""As a beauty editor, I ' d sexual love mathematical product from your newfangled collection for editorial coverage.""]",Professional Inquiry
['Be it compatible with a niacinamide serum?'],Product Inquiry-Usage Instructions
['hyaluronic lucy in the sky with diamonds'],Product Inquiry-Ingredients
"[""Look at how men hold transformed today. From showing their ankles and wearing fitted pant to plucking their eyebrows, manicuring their nails, and following skincare routines. They ' re comprehend recitation traditionally conceive feminine.""]",Feedback-Complaints
['I urge that you encapsulate the serum with pure vitamin One c as information technology oxidizes very quickly.'],Product Inquiry-Recommendations
['Be the pilus serum free from sulfate?'],Product Inquiry-Ingredients
['How coif I request a repayment for my purchase order?'],Customer Support-Returns and Refunds
['I paid extra for expressage shipping but my ordering take just as long as even ground merchant marine!'],Customer Support-Shipping Issues
['Dress I need to habituate this on dry or damp peel?'],Product Inquiry-Usage Instructions
['not that majuscule'],Feedback-Complaints
['Be this product desirable for acne tegument?'],Product Inquiry-Ingredients
['Is this dependable for daily use on tender peel?'],Product Inquiry-Usage Instructions
['Testament the fragrance get to my sensitive skin?'],Product Inquiry-Ingredients
"[""Is the moisturizer backward in stemma until now? Ane ' m tired of waiting.""]",Product Inquiry-Availability
['Information technology would be decent to have a loyalty program.'],Feedback-Suggestions
"[""What ' s the just mathematical product for acne that doesn ' t contain microplastics?""]",Product Inquiry-Recommendations
['How suffice I request a refund for my monastic order?'],Customer Support-Returns and Refunds
"[""One need a volumizing mascara that doesn ' t clump beaver state flake. Any recommendations from your logical argument?""]",Product Inquiry-Recommendations
['Atomic number 53 simply have it off it! ❤ ️'],Feedback-Compliments
"[""Ane ' five hundred making love to pick up a more affordable version of this.""]",Feedback-Suggestions
['How many clientele twenty four hours does it pack for the package to arrive?'],Customer Support-Order Status
['How do One revert this eco - friendly product?'],Customer Support-Returns and Refunds
['Big up!'],Feedback-Compliments
['One want to discourse a clientele proposal with you.'],Professional Inquiry
"['I want to necessitate if the price of the cream for normal and wry skin be rising. I purchased it from an online store, and the tube seems taller for the like price. I suspect it power not be veritable.']",Product Inquiry-Availability
['I call for to consume a piss.'],Others
['Should Atomic number 53 use a'],Product Inquiry-Usage Instructions
"[""Can I use this mathematical product if Iodin ' m significant?""]",Others
['My beauty shop is considering conduct your full cosmetic logical argument. Could you provide info?'],Professional Inquiry
['My order be shipped to the ill timed speech.'],Customer Support-Shipping Issues
"[""It ' s time you extended your brow range with pomatum, gel and other peter beyond just now pencils.""]",Feedback-Suggestions
"[""One ' molar concentration look to hear i of your glow / radiance promote primers or setting sprays. Which one would you suggest?""]",Product Inquiry-Recommendations
['Can I utilise this aloe gel after I had a mechanically skillful desquamation?'],Product Inquiry-Usage Instructions
['Dismiss you urge a serious vegan moisturizer?'],Product Inquiry-Recommendations
['Volition it be reduced on Blackamoor Fri?'],Product Inquiry-Price
['How much is the shipping monetary value for this intersection?'],Product Inquiry-Price
['I love your mathematical product!'],Feedback-Compliments
['What embody your programme for the weekend?'],Others
['Can you excuse why this product follow better than the competitor?'],Others
['Why be the shipping direct so long for the vegan skin care?'],Customer Support-Shipping Issues
['jojoba'],Product Inquiry-Ingredients
['Your recurrence process is confuse as fuck.'],Customer Support-Returns and Refunds
['This be not okay'],Feedback-Complaints
['Ar in that respect any opportunity for brand ambassadors?'],Professional Inquiry
"[""Don river ' deoxythymidine monophosphate miss come out of the closet on our biggest sale of the year! All beauty products up to 60% turned. Store now and save large. # BeautySale # CosmeticsDeals""]",Others
['Unde dracu este comanda mea?'],Customer Support-Order Status
"['You need to tap into the K - lulu cushion compact, tint - up cream tendency.']",Feedback-Suggestions
['Information technology would be decent to have a loyalty program.'],Feedback-Suggestions
"[""Fanny I return this if I ' ve used information technology formerly?""]",Customer Support-Returns and Refunds
"[""Iodine can ' t get adequate of the new solidification of lipsticks — I absolutely love them! ❤ ️""]",Feedback-Compliments
['You should consider adding more than time value and perks to your loyalty rewards program.'],Feedback-Suggestions
['Can information technology be used in combining with vitamin Coke?'],Product Inquiry-Usage Instructions
['Your skincare line for acne - prone skin have be a game auto changer!'],Feedback-Compliments
"['The cream with yellowness is part of my routine, and 1 just now love information technology! ❤ ️']",Feedback-Compliments
['glycolic battery acid'],Product Inquiry-Ingredients
"[""Unity ' m interested in become a distributor for your plastic - spare product, what ' s the procedure?""]",Professional Inquiry
['Could you recommend a serious look sunscreen that wears comfortably nether makeup? Ace need SPF 30 +.'],Product Inquiry-Recommendations
['I notice your concealer has dimethicone listed - be this a new formulation modification?'],Product Inquiry-Ingredients
"[""This is the just affair 1 ' ve e'er bought, hands down.""]",Feedback-Compliments
['Client service was not helpful.'],Feedback-Complaints
['New mathematical product launch! Correspond come out of the closet our latest range of organic skincare merchandise. Order today and stupefy barren shipping on all order. # NewArrivals # OrganicBeauty'],Others
['When be the sales coming?'],Product Inquiry-Price
"[""Ace ' m very satisfied with my leverage.""]",Feedback-Compliments
['My order was shipped to the unseasonable savoir faire.'],Customer Support-Shipping Issues
['A makeup setting spray would embody an awesome addition to your be human face business line.'],Feedback-Suggestions
['I indicate strain the return insurance policy.'],Feedback-Suggestions
['Do you bear the anti - age cream available?'],Product Inquiry-Availability
['Delight add more colouring material to this lipstick kitchen range.'],Feedback-Suggestions
"[""It ' s metre you extended your brow scope with pomade, gels and other tools beyond just pencil.""]",Feedback-Suggestions
['Is this product suitable for acne cutis?'],Product Inquiry-Ingredients
['The speech address is wrong.'],Customer Support-Shipping Issues
['The promotional material be damaged when it arrived.'],Feedback-Complaints
['Ar there any discount available for the skincare mathematical product?'],Product Inquiry-Price
['lavender'],Product Inquiry-Ingredients
"[""I ' m a beauty blogger concerned in potentially collaborating on tutorial / content.""]",Professional Inquiry
['Tin you evidence me the price of the intact skin care set?'],Product Inquiry-Price
"[""Ane ' d love to see a to a greater extent low cost version of this.""]",Feedback-Suggestions
['Which cleanser would you suggest for sensitive pelt?'],Product Inquiry-Recommendations
['Your website says the Pro Conformation Pallette is out of stemma. When derriere I expect a restock?'],Product Inquiry-Availability
"[""How do I go astir come back an item that cause an allergic reaction? I have a doc ' s note.""]",Customer Support-Returns and Refunds
['What is the cost of the new lip rouge?'],Product Inquiry-Price
['assassin'],Feedback-Compliments
['Arse you update me on my rescript status?'],Customer Support-Order Status
"[""One ' 1000 concerned in a wholesale partnership.""]",Professional Inquiry
"[""Atomic number 53 ' m a freelance makeup creative person and would love to be considered for opportunity with your trade name.""]",Professional Inquiry
['Do I need to lave the whisker once or double?'],Product Inquiry-Usage Instructions
['Stop be such a dick.'],Others
"[""1 ' one thousand so disappointed with the new foundation 1 buy from your brand. Information technology oxidizes terribly and make my skin look orange after a few hours.""]",Feedback-Complaints
['superb'],Feedback-Compliments
['My parliamentary law was shipped to the untimely address.'],Customer Support-Shipping Issues
['Does it check niacinamide?'],Product Inquiry-Ingredients
"[""It ' s non ok""]",Feedback-Complaints
"[""It ' s astonishing how human beings behave these days. Exhibit their ankles, wearing tailor made pants, grooming their supercilium, getting manicures, and following skin care routines. They ' ray taking up practices usually associate with women.""]",Feedback-Complaints
"[""I ' m a freelance makeup creative person and would love to represent considered for opportunities with your steel.""]",Professional Inquiry
['I urge that you encapsulate the blood serum with pure vitamin C as information technology oxidizes real chop chop.'],Product Inquiry-Recommendations
"[""What ' s the price of the new moisturizer?""]",Product Inquiry-Price
['Can it only follow buy online?'],Product Inquiry-Availability
['Can I buy the raw matte foundation online?'],Product Inquiry-Availability
"[""One tail end ' t get enough of the foaming cleanser — Ane absolutely love information technology!""]",Feedback-Compliments
['allergic response'],Feedback-Complaints
['One necessitate an update on my order status straight off!'],Customer Support-Order Status
['Tush we arrange a meeting to discuss a coaction?'],Professional Inquiry
['Circumscribed time only if: Get our entire mouth care solicitation for just $ 29. ic. Click the contact to shit now. # LipCare # BeautyBundle'],Others
['Are there any rebate uncommitted for the skincare products?'],Product Inquiry-Price
"[""I ' m in the securities industry for a newfangled eyeshadow palette. Which i from your line would you urge for neutral, everyday looks?""]",Product Inquiry-Recommendations
['How much?'],Product Inquiry-Price
['I hint lead the paying back policy.'],Feedback-Suggestions
"['In that location was an publication with the shipping savoir faire, give the axe you help?']",Customer Support-Shipping Issues
['does vitamin c increase cutis glow? what does vitamin c do to your face'],Product Inquiry-Ingredients
"[""Be this face cream friendly with make up? Can I use information technology as a priming? I saw that it contains panthenol so information technology ' s suppose to hydrate the cutis.""]",Product Inquiry-Usage Instructions
"['This intersection comprise fucking amazing, I love information technology!']",Feedback-Compliments
"['WIN a twelvemonth ’ s supply of our premium beauty products! Like this post, tag threesome protagonist, and share to enter! # Game show # BeautyWin # Freebee']",Others
"['Your Detox remains mask moderate charcoal grey, powerful? Just want to double over check before buying.']",Product Inquiry-Ingredients
['My beauty shop is considering carrying your total cosmetic bank line. Could you provide info?'],Professional Inquiry
"[""What ' s the sound product for acne that doesn ' t contain microplastics?""]",Product Inquiry-Recommendations
['What serve One do if I received the incorrect item?'],Customer Support-Returns and Refunds
['How many times per week embody it indicate to use?'],Product Inquiry-Usage Instructions
"['My parliamentary law was ship to the wrong address, what should I behave?']",Customer Support-Shipping Issues
"[""fanny ' t be permit""]",Feedback-Complaints
"[""Be this face cream friendly with makeup? Derriere I employ information technology as a primer? I saw that it contains panthenol so it ' entropy supposed to hydrate the skin.""]",Product Inquiry-Usage Instructions
['Is the hydrate blood serum still in line?'],Product Inquiry-Availability
['Do you still produce the wraith turn 24?'],Product Inquiry-Availability
"[""I ' mb concerned in become a distributer, what ' s the process?""]",Professional Inquiry
"[""I ' m try on to head off alcohols in my skin care. Are any of your toner or mists alcohol - free?""]",Product Inquiry-Ingredients
['waiting to experience my order'],Customer Support-Shipping Issues
['Wherefore is this thence damn expensive?'],Product Inquiry-Price
['Is this cruelty - gratis production useable?'],Product Inquiry-Availability
['Can you add more wraith for your foundation?'],Feedback-Suggestions
['waiting for my order'],Customer Support-Shipping Issues
"[""One ' 1000 concerned in a wholesale partnership.""]",Professional Inquiry
['Any tips for blending out the ointment shape subtlety from your Pro Palette?'],Product Inquiry-Usage Instructions
"['Exclusive offer for our followers! Buy one, stimulate one free on choose item. Store now and save! # BOGO # CosmeticsDeals']",Others
['When leave you give birth more of this fucking merchandise?'],Product Inquiry-Availability
['Can you consider put up samples with order?'],Feedback-Suggestions
"['Join our panjandrum club and get exclusive access to young products, peculiar discount, and more. Sign up today! # VIPClub # ExclusiveAccess']",Others
['Get along you have any recommendations for a daily sunscreen?'],Product Inquiry-Recommendations
['Be this really deserving $ 50? Seems comparable a rip - off.'],Product Inquiry-Price
"['deliver the goods a class ’ s provision of our premium beauty intersection! Similar this post, tag 3 supporter, and plowshare to get in! # Giveaway # BeautyWin # Freebies']",Others
['Mist after beaver state before the emollient?'],Product Inquiry-Usage Instructions
['Energy represent puzzle out as a second step in a double cleansing?'],Product Inquiry-Usage Instructions
"['What would be your recommended skincare bit for someone with combining, acne - prone pelt in their 30s?']",Product Inquiry-Recommendations
"[""Your website international relations and security network ' tonne allowing me to march a paying back for an unopened, unwanted product.""]",Customer Support-Returns and Refunds
['Vitamin C increase the sunscreen burden?'],Product Inquiry-Ingredients
['Do it contain intoxicant?'],Product Inquiry-Ingredients
"['I tried to find a blood serum with a velvety cultivation all concluded the internet, just Unity only locate it on two platform, where it was listed at double the cost.']",Product Inquiry-Availability
['What is the unconscious process for returning products that go far damaged oregon used? I own images to show.'],Customer Support-Returns and Refunds
"[""Can you suggest a good rosiness formula that doesn ' t accentuate grain operating theater calculate cakey? I have juiceless, mature skin.""]",Product Inquiry-Recommendations
['I am concerned in a partnership with your brand.'],Professional Inquiry
['I got an order rescue exception apprisal simply no early inside information. Is my order lost oregon delayed?'],Customer Support-Order Status
['vitamin einsteinium'],Product Inquiry-Ingredients
"[""Be the new matte lipstick shadowiness ' Velvet Paint ' still uncommitted? It ' s sold out online.""]",Product Inquiry-Availability
"[""How do I go about repay an particular that do an supersensitive response? I have a md ' s note.""]",Customer Support-Returns and Refunds
"[""What ' s the best way to apply your Radiant Glow Body Play? ♀ ️""]",Product Inquiry-Usage Instructions
"[""As a ravisher blogger, Atomic number 53 ' d love the chance to collaborate with your steel on tutorials or other substance.""]",Professional Inquiry
['Can Ace get a repayment for an open product?'],Customer Support-Returns and Refunds
['It would be neat if you offered sample size for raw products.'],Feedback-Suggestions
"['What should Atomic number 53 use for super dry, flaky hide?']",Product Inquiry-Recommendations
"[""I displace ' t consider how well this works, it ' s fucking awesome!""]",Feedback-Compliments
['How do I practice this eco - favorable product?'],Product Inquiry-Usage Instructions
"[""Unity can ' t get enough of Brand_A ' s light up vitamin Hundred blood serum, the lightweight moisturizer, the exfoliating scouring, and the appeasement toner.""]",Feedback-Compliments
['Are there any opportunity for trade name ambassadors?'],Professional Inquiry
['Particular offer: Get glowing hide in just seven days with our Vitamin C serum. Buy straight off and get a 15% discount. Use code GLOW15 at checkout. # Skincare # BeautyOffer'],Others
"['I need advice on a skin care routine, can you facilitate?']",Others
['Is in that location a professional discount for bombastic orders?'],Professional Inquiry
"[""I ' m bet for a specific shimmery eyeshadow unmarried shout out ' Gilded ' but can ' t locate it on your website.""]",Product Inquiry-Availability
"[""How do Atomic number 53 operate astir come back a product that caused an allergic response? Ace get a doctor ' s note.""]",Customer Support-Returns and Refunds
['Do you extend toll matching for this product?'],Product Inquiry-Price
['Phone divine'],Feedback-Compliments
['The trailing information for my paraben - free order hasn ’ mt update in days.'],Customer Support-Shipping Issues
['Treat yourself to luxury with our exclusive beauty boxwood subscription. Subscribe today and get your world class box free. # BeautyBox # SubscriptionOffer'],Others
"['Iodine want to return a ware, rump you help?']",Customer Support-Returns and Refunds
['Great customer divine service experience!'],Feedback-Compliments
['Quit acting comparable a jackass.'],Others
['The mathematical product transcend my expectations.'],Feedback-Compliments
"[""Preceptor ' t represent a douchebag.""]",Others
['How much does the up to the minute substructure toll?'],Product Inquiry-Price
['The microplastic - free scrub live besides coarse on my skin.'],Feedback-Complaints
['Unity received the wrong item than what Ane had ordered. The product be also used! I require a repayment.'],Customer Support-Shipping Issues
['Be this pliant - free publicity worth the price?'],Product Inquiry-Price
['How much set this vegan product cost?'],Product Inquiry-Price
['I recommend that you encapsulate the serum with pure vitamin Atomic number 6 as information technology oxidizes very speedily.'],Product Inquiry-Recommendations
['How much does the anti - aging serum price?'],Product Inquiry-Price
['Do you extend toll matching for this product?'],Product Inquiry-Price
"['Your rooter would love to meet you launch more than multi - manipulation, versatile cream intersection that are on - trend.']",Feedback-Suggestions
"[""As a mantrap blogger, 1 ' d love the chance to get together with your steel on tutorials or other content.""]",Professional Inquiry
['Can you provide the leontyne price details for the modern moisturizer?'],Product Inquiry-Price
"[""The cream bloom I purchase looks amazing when first give only doesn ' t last more than an hour or deuce.""]",Feedback-Complaints
['It be good if'],Feedback-Suggestions
['Ace want to return a few items for a repayment but your insurance policy states cartesian product need to be mildly used. Define mildly used?'],Customer Support-Returns and Refunds
['Ar thither any opportunity for product reviewers?'],Professional Inquiry
['Information technology would be great if you bid more fragrance - innocent options.'],Feedback-Suggestions
['Are on that point any product that assist with dark spots?'],Product Inquiry-Recommendations
['How much does the latest foundation monetary value?'],Product Inquiry-Price
['What the hell on earth personify in your raw serum?'],Product Inquiry-Ingredients
"[""What ' s the subprogram for return items that arrived damage / used? Ace experience pictures.""]",Customer Support-Returns and Refunds
['Do you betray it in pharmacies too?'],Product Inquiry-Availability
"['My order of magnitude be send to the wrong address, what should Iodin do?']",Customer Support-Shipping Issues
['What ’ s the remainder between your vegan and regular ware lines?'],Others
"[""I ' d same to get together with your brand, world health organization should I get hold of?""]",Professional Inquiry
['What are the prices for the change of location size versions of your best - selling mascara?'],Product Inquiry-Price
['adore'],Feedback-Compliments
['Where is my order for the cruelness - free production?'],Customer Support-Order Status
['Why be this cruelness - free makeup therefore expensive?'],Product Inquiry-Price
['Tail end information technology be used in combination with retinol?'],Product Inquiry-Usage Instructions
['How the hell suffice Ane return this product?'],Customer Support-Returns and Refunds
['Exist my order still on its agency?'],Customer Support-Order Status
['The cartesian product did not match my first moment.'],Feedback-Complaints
['yellowish pink'],Product Inquiry-Ingredients
"[""As a beauty editor, 1 ' d love production from your novel collecting for editorial coverage.""]",Professional Inquiry
['Displace I use this mask more than than once a hebdomad?'],Product Inquiry-Usage Instructions
['Can someone serve maine with a return? This is fake.'],Customer Support-Returns and Refunds
['glycolic acid'],Product Inquiry-Ingredients
['Terminate we arrange a merging to discuss a collaboration?'],Professional Inquiry
['Do you take a right passport for a vegan base?'],Product Inquiry-Recommendations
['Do you deliver the anti - aging cream uncommitted?'],Product Inquiry-Availability
"[""Iodine ' yard not happy with the quality of this shaping - complimentary item.""]",Feedback-Complaints
['How much does the latest foundation monetary value?'],Product Inquiry-Price
['How the hell is this thus pricy?'],Product Inquiry-Price
['How should I implement and blend your pick contour pallet? Looking for technique tips.'],Product Inquiry-Usage Instructions
['How many pumps of the Vitamin Snow serum do you recommend habituate for the full face?'],Product Inquiry-Usage Instructions
['await to get my order'],Customer Support-Shipping Issues
['Say auf wiedersehen to wrinkles and hello to youthful tegument! Our revolutionary anti - aging serum be now available. Shop class now and draw a gratuitous sampling with every edict! # AntiAging # BeautyTips'],Others
['Ane ’ d love to see more vegan options from your brand.'],Feedback-Suggestions
"['The product I get comprise damaged, how lav Ane return it?']",Customer Support-Returns and Refunds
['Be it a dark quotidian product or a day i?'],Product Inquiry-Usage Instructions
['Ane need to deepen the merchant vessels address for my order.'],Customer Support-Shipping Issues
['non that great'],Feedback-Complaints
['Where can I experience if my software package pass the customs?'],Customer Support-Order Status
['Be this genuinely deserving $ l? Seems corresponding a rip - off.'],Product Inquiry-Price
['I have a livery exception notice for my decree simply no other details. Is information technology lost or delayed?'],Customer Support-Order Status
['Displace One use this masquerade party more than than once a week?'],Product Inquiry-Usage Instructions
"[""I ' thousand face for a longsighted - wearing foundation for combination tegument. What would you recommend?""]",Product Inquiry-Recommendations
['Can you leave the leontyne price details for the raw moisturizer?'],Product Inquiry-Price
['What are the ingredients of the modern lip rouge?'],Product Inquiry-Ingredients
"[""Hi, Iodin site an order concluding hebdomad just haven ' t receive any shipping updates yet. Can you fit?""]",Customer Support-Order Status
['Can Atomic number 53 get a refund for an open mathematical product?'],Customer Support-Returns and Refunds
['My favorite sport comprise basketball game.'],Others
['When can I buy the charge card - free skincare prepare once again?'],Product Inquiry-Availability
['Could you recommend a good face sunscreen that wear out comfortably nether make up? One need SPF 30 +.'],Product Inquiry-Recommendations
['Wherefore is shipping so bloody expensive?'],Customer Support-Shipping Issues
['I involve a good word for an anti - age ointment that ’ s deserving the damn money.'],Product Inquiry-Recommendations
['sensitized reaction'],Feedback-Complaints
"[""Unity ' m a ravisher blogger interested in potentially get together on tutorials / capacity.""]",Professional Inquiry
"[""I range an order a week ago simply haven ' t received any shipping presentment yet. Can you assure the condition?""]",Customer Support-Order Status
['A makeup setting spray would be an amazing plus to your existing face line of work.'],Feedback-Suggestions
['How much do this vegan product cost?'],Product Inquiry-Price
['Why equal my fiat taking thusly long?'],Customer Support-Order Status
['Are thither any deduction useable for the skincare products?'],Product Inquiry-Price
['waiting to stupefy my order'],Customer Support-Shipping Issues
"['What lipstick recipe would you recommend for a well situated, long wearing red shade?']",Product Inquiry-Recommendations
['waiting for my decree'],Customer Support-Shipping Issues
"[""What ' s your good highlighter for a blinding glow? I have medium / tan pelt.""]",Product Inquiry-Recommendations
"['One tried to find a blood serum with a velvet finish all over the internet, only Ane just place it on ii chopine, where it was listed at double the cost.']",Product Inquiry-Availability
"[""How can I be notify if information technology ' s back on stock?""]",Product Inquiry-Availability
"['Hello, how practically does the modified variant Smokey Eye palette retail for before taxes?']",Product Inquiry-Price
"[""As a beauty blogger, Ace ' d love the opportunity to collaborate with your brand on tutorials operating theatre early content.""]",Professional Inquiry
"[""As a beauty blogger, I ' d love the opportunity to get together with your sword on tutorial or other message.""]",Professional Inquiry
['Is this product suitable for day to day usage?'],Product Inquiry-Usage Instructions
"[""Which cost the stores where I backside ' t find the product?""]",Product Inquiry-Availability
